"file"	"kind"	"detail"
"OEBPS/text/ch033.xhtml"	"metrics-band"	"max p 79; dashes/1k 36.25; includes furniture"
"OEBPS/text/ch034.xhtml"	"metrics-band"	"max p 91; dashes/1k 27.81; includes furniture"
"OEBPS/text/ch035.xhtml"	"doubled-word"	"ng she chooses. Knock knock. “Come in.” Ji-ho eased"
"OEBPS/text/ch035.xhtml"	"metrics-band"	"max p 94; dashes/1k 30.32; includes furniture"
"OEBPS/text/ch036.xhtml"	"metrics-band"	"max p 80; dashes/1k 28.27; includes furniture"
"OEBPS/text/ch037.xhtml"	"metrics-band"	"max p 71; dashes/1k 30.47; includes furniture"
"OEBPS/text/ch038.xhtml"	"metrics-band"	"max p 65; dashes/1k 29.82; includes furniture"
"OEBPS/text/ch039.xhtml"	"metrics-band"	"max p 71; dashes/1k 25.35; includes furniture"
"OEBPS/text/ch040.xhtml"	"metrics-band"	"max p 78; dashes/1k 25.32; includes furniture"
"OEBPS/text/ch041.xhtml"	"metrics-band"	"max p 64; dashes/1k 25.18; includes furniture"
"OEBPS/text/ch042.xhtml"	"metrics-band"	"max p 67; dashes/1k 33.61; includes furniture"
"OEBPS/text/ch043.xhtml"	"metrics-band"	"max p 117; dashes/1k 38.13; includes furniture"
"OEBPS/text/ch044.xhtml"	"metrics-band"	"max p 98; dashes/1k 28.22; includes furniture"
"OEBPS/text/ch045.xhtml"	"metrics-band"	"max p 86; dashes/1k 27.51; includes furniture"
"OEBPS/text/ch046.xhtml"	"metrics-band"	"max p 79; dashes/1k 29.78; includes furniture"
"OEBPS/text/ch047.xhtml"	"metrics-band"	"max p 72; dashes/1k 30.6; includes furniture"
"OEBPS/text/ch048.xhtml"	"metrics-band"	"max p 47; dashes/1k 39.17; includes furniture"
"OEBPS/text/ch049.xhtml"	"metrics-band"	"max p 60; dashes/1k 32.44; includes furniture"
"OEBPS/text/ch050.xhtml"	"metrics-band"	"max p 57; dashes/1k 31.69; includes furniture"
"OEBPS/text/ch051.xhtml"	"metrics-band"	"max p 65; dashes/1k 29.08; includes furniture"
"OEBPS/text/ch052.xhtml"	"metrics-band"	"max p 81; dashes/1k 27.22; includes furniture"
"OEBPS/text/ch053.xhtml"	"metrics-band"	"max p 51; dashes/1k 31.32; includes furniture"
"OEBPS/text/ch054.xhtml"	"metrics-band"	"max p 102; dashes/1k 35.65; includes furniture"
"OEBPS/text/ch055.xhtml"	"metrics-band"	"max p 56; dashes/1k 27.89; includes furniture"
"OEBPS/text/ch056.xhtml"	"doubled-word"	"e to tell HER the score in person. Tsk tsk tsk~” And there it was. Taeye"
"OEBPS/text/ch056.xhtml"	"metrics-band"	"max p 78; dashes/1k 38.3; includes furniture"
"OEBPS/text/ch057.xhtml"	"doubled-word"	"ore than anything on earth!” “Heh heh heh.” Watching Wendy question her"
"OEBPS/text/ch057.xhtml"	"metrics-band"	"max p 78; dashes/1k 30.96; includes furniture"
"OEBPS/text/ch058.xhtml"	"metrics-band"	"max p 73; dashes/1k 28.55; includes furniture"
"OEBPS/text/ch059.xhtml"	"doubled-word"	"vatar first. KakaoTalk · Sulli Sulli [photo] Oppa!! This is the Hyu"
"OEBPS/text/ch059.xhtml"	"metrics-band"	"max p 110; dashes/1k 28.9; includes furniture"
"OEBPS/text/ch060.xhtml"	"doubled-word"	"RIGHT NOW! [sticker: excited] Go go, good luck with practice! Next tim"
"OEBPS/text/ch060.xhtml"	"metrics-band"	"max p 108; dashes/1k 36.5; includes furniture"
"OEBPS/text/ch061.xhtml"	"doubled-word"	"LLING him — how is that possible — omo omo—” Seo-ju didn’t follow idols"
"OEBPS/text/ch061.xhtml"	"metrics-band"	"max p 81; dashes/1k 33.4; includes furniture"
"OEBPS/text/ch062.xhtml"	"metrics-band"	"max p 57; dashes/1k 35.56; includes furniture"
"OEBPS/text/ch063.xhtml"	"metrics-band"	"max p 81; dashes/1k 39.26; includes furniture"
"OEBPS/text/ch064.xhtml"	"metrics-band"	"max p 72; dashes/1k 29.36; includes furniture"
"OEBPS/text/ch065.xhtml"	"metrics-band"	"max p 78; dashes/1k 33.64; includes furniture"
"OEBPS/text/ch066.xhtml"	"metrics-band"	"max p 50; dashes/1k 40.08; includes furniture"
"OEBPS/text/ch067.xhtml"	"metrics-band"	"max p 73; dashes/1k 37.79; includes furniture"
"OEBPS/text/ch068.xhtml"	"metrics-band"	"max p 72; dashes/1k 35.85; includes furniture"
"OEBPS/text/ch069.xhtml"	"metrics-band"	"max p 101; dashes/1k 31.6; includes furniture"
"OEBPS/text/ch070.xhtml"	"metrics-band"	"max p 75; dashes/1k 27.18; includes furniture"
"OEBPS/text/ch071.xhtml"	"metrics-band"	"max p 73; dashes/1k 30.39; includes furniture"
"OEBPS/text/ch072.xhtml"	"metrics-band"	"max p 95; dashes/1k 30.01; includes furniture"
"OEBPS/text/ch073.xhtml"	"doubled-word"	"I went out of my way to warn you. Tsk tsk tsk.” (Not knowing was perfec"
"OEBPS/text/ch073.xhtml"	"metrics-band"	"max p 73; dashes/1k 22.73; includes furniture"
"OEBPS/text/ch074.xhtml"	"doubled-word"	"— manager eonni’s yelling for me. Bye bye~” He pocketed the phone, s"
"OEBPS/text/ch074.xhtml"	"doubled-word"	"ight. [sticker: sobbing puppy] Really really sorry. Your one rest day and we SH"
"OEBPS/text/ch074.xhtml"	"metrics-band"	"max p 49; dashes/1k 36.3; includes furniture"
"OEBPS/text/ch075.xhtml"	"metrics-band"	"max p 49; dashes/1k 42.22; includes furniture"
"OEBPS/text/ch076.xhtml"	"metrics-band"	"max p 76; dashes/1k 34.4; includes furniture"
"OEBPS/text/ch077.xhtml"	"metrics-band"	"max p 78; dashes/1k 27.52; includes furniture"
"OEBPS/text/ch078.xhtml"	"metrics-band"	"max p 79; dashes/1k 30.76; includes furniture"
"OEBPS/text/ch079.xhtml"	"metrics-band"	"max p 71; dashes/1k 40.32; includes furniture"
"OEBPS/text/ch080.xhtml"	"metrics-band"	"max p 80; dashes/1k 44.58; includes furniture"
"OEBPS/text/ch081.xhtml"	"metrics-band"	"max p 63; dashes/1k 40.92; includes furniture"
"OEBPS/text/ch082.xhtml"	"metrics-band"	"max p 75; dashes/1k 30.58; includes furniture"
"OEBPS/text/ch083.xhtml"	"doubled-word"	"’re diagnosing yourself with THAT? Tsk tsk. It’s an allergy. Obviously.”"
"OEBPS/text/ch083.xhtml"	"metrics-band"	"max p 75; dashes/1k 29.13; includes furniture"
"OEBPS/text/ch084.xhtml"	"metrics-band"	"max p 97; dashes/1k 29.0; includes furniture"
"OEBPS/text/ch085.xhtml"	"metrics-band"	"max p 92; dashes/1k 29.46; includes furniture"
"OEBPS/text/ch086.xhtml"	"metrics-band"	"max p 56; dashes/1k 21.79; includes furniture"
"OEBPS/text/ch087.xhtml"	"metrics-band"	"max p 82; dashes/1k 21.34; includes furniture"
"OEBPS/text/ch088.xhtml"	"metrics-band"	"max p 53; dashes/1k 28.33; includes furniture"
"OEBPS/text/ch089.xhtml"	"metrics-band"	"max p 47; dashes/1k 26.19; includes furniture"
"OEBPS/text/ch090.xhtml"	"metrics-band"	"max p 54; dashes/1k 21.36; includes furniture"
"OEBPS/text/ch091.xhtml"	"metrics-band"	"max p 70; dashes/1k 25.65; includes furniture"
"OEBPS/text/ch092.xhtml"	"metrics-band"	"max p 67; dashes/1k 28.34; includes furniture"
"OEBPS/text/ch093.xhtml"	"metrics-band"	"max p 94; dashes/1k 33.27; includes furniture"
"OEBPS/text/ch094.xhtml"	"doubled-word"	"the testing. KakaoTalk · Sulli Sulli Oppa, I saw the news… you must"
"OEBPS/text/ch094.xhtml"	"doubled-word"	"Deep regret. KakaoTalk · Sulli Sulli You must be so busy handling e"
"OEBPS/text/ch094.xhtml"	"metrics-band"	"max p 82; dashes/1k 28.56; includes furniture"
"OEBPS/text/ch095.xhtml"	"metrics-band"	"max p 52; dashes/1k 43.38; includes furniture"
"OEBPS/text/ch096.xhtml"	"metrics-band"	"max p 113; dashes/1k 25.83; includes furniture"
"OEBPS/text/ch097.xhtml"	"metrics-band"	"max p 78; dashes/1k 29.95; includes furniture"
"OEBPS/text/ch098.xhtml"	"metrics-band"	"max p 65; dashes/1k 22.71; includes furniture"
"OEBPS/text/ch099.xhtml"	"metrics-band"	"max p 87; dashes/1k 22.61; includes furniture"
"OEBPS/text/ch100.xhtml"	"doubled-word"	"warmth of her underneath it. “Go go go,” she urged in a stage whisper,"
"OEBPS/text/ch100.xhtml"	"metrics-band"	"max p 75; dashes/1k 20.8; includes furniture"
"OEBPS/text/ch101.xhtml"	"metrics-band"	"max p 86; dashes/1k 31.62; includes furniture"
"OEBPS/text/ch102.xhtml"	"metrics-band"	"max p 65; dashes/1k 30.55; includes furniture"
"OEBPS/text/ch103.xhtml"	"metrics-band"	"max p 56; dashes/1k 27.92; includes furniture"
"OEBPS/text/ch104.xhtml"	"metrics-band"	"max p 69; dashes/1k 34.2; includes furniture"
"OEBPS/text/ch105.xhtml"	"metrics-band"	"max p 84; dashes/1k 23.92; includes furniture"
"OEBPS/text/ch106.xhtml"	"metrics-band"	"max p 62; dashes/1k 31.4; includes furniture"
"OEBPS/text/ch107.xhtml"	"metrics-band"	"max p 50; dashes/1k 46.27; includes furniture"
"OEBPS/text/ch108.xhtml"	"metrics-band"	"max p 88; dashes/1k 32.26; includes furniture"
"OEBPS/text/ch109.xhtml"	"metrics-band"	"max p 104; dashes/1k 25.66; includes furniture"
"OEBPS/text/ch110.xhtml"	"metrics-band"	"max p 137; dashes/1k 37.39; includes furniture"
"OEBPS/text/ch111.xhtml"	"metrics-band"	"max p 78; dashes/1k 31.15; includes furniture"
"OEBPS/text/ch112.xhtml"	"metrics-band"	"max p 74; dashes/1k 38.81; includes furniture"
"OEBPS/text/ch113.xhtml"	"metrics-band"	"max p 72; dashes/1k 29.15; includes furniture"
"OEBPS/text/ch114.xhtml"	"metrics-band"	"max p 123; dashes/1k 25.16; includes furniture"
"OEBPS/text/ch115.xhtml"	"metrics-band"	"max p 74; dashes/1k 26.46; includes furniture"
"OEBPS/text/ch116.xhtml"	"metrics-band"	"max p 71; dashes/1k 22.47; includes furniture"
"OEBPS/text/ch117.xhtml"	"metrics-band"	"max p 102; dashes/1k 23.06; includes furniture"
"OEBPS/text/ch118.xhtml"	"metrics-band"	"max p 68; dashes/1k 30.35; includes furniture"
"OEBPS/text/ch119.xhtml"	"metrics-band"	"max p 64; dashes/1k 37.04; includes furniture"
"OEBPS/text/ch120.xhtml"	"metrics-band"	"max p 84; dashes/1k 30.09; includes furniture"
"OEBPS/text/ch121.xhtml"	"metrics-band"	"max p 74; dashes/1k 33.71; includes furniture"
"OEBPS/text/ch122.xhtml"	"metrics-band"	"max p 106; dashes/1k 31.25; includes furniture"
"OEBPS/text/ch123.xhtml"	"metrics-band"	"max p 117; dashes/1k 28.76; includes furniture"
"OEBPS/text/ch124.xhtml"	"metrics-band"	"max p 70; dashes/1k 30.36; includes furniture"
"OEBPS/text/ch125.xhtml"	"metrics-band"	"max p 90; dashes/1k 31.22; includes furniture"
"OEBPS/text/ch126.xhtml"	"metrics-band"	"max p 90; dashes/1k 31.86; includes furniture"
"OEBPS/text/ch127.xhtml"	"doubled-word"	"ng tags herself, then?” Pfff— cough cough cough! Water went everywhere."
"OEBPS/text/ch127.xhtml"	"metrics-band"	"max p 128; dashes/1k 29.43; includes furniture"
"OEBPS/text/ch128.xhtml"	"metrics-band"	"max p 71; dashes/1k 31.82; includes furniture"
"OEBPS/text/ch129.xhtml"	"metrics-band"	"max p 68; dashes/1k 29.05; includes furniture"
"OEBPS/text/ch130.xhtml"	"metrics-band"	"max p 70; dashes/1k 34.51; includes furniture"
"OEBPS/text/ch131.xhtml"	"metrics-band"	"max p 82; dashes/1k 34.62; includes furniture"
"OEBPS/text/ch132.xhtml"	"metrics-band"	"max p 78; dashes/1k 27.04; includes furniture"
"OEBPS/text/ch133.xhtml"	"metrics-band"	"max p 87; dashes/1k 29.36; includes furniture"
"OEBPS/text/ch134.xhtml"	"doubled-word"	"h tonight, that’s an order.” “No no— you two ACTED so well we forgot w"
"OEBPS/text/ch134.xhtml"	"metrics-band"	"max p 94; dashes/1k 37.64; includes furniture"
"OEBPS/text/ch135.xhtml"	"metrics-band"	"max p 95; dashes/1k 34.02; includes furniture"
"OEBPS/text/ch136.xhtml"	"metrics-band"	"max p 119; dashes/1k 34.77; includes furniture"
"OEBPS/text/ch137.xhtml"	"metrics-band"	"max p 79; dashes/1k 33.6; includes furniture"
"OEBPS/text/ch138.xhtml"	"metrics-band"	"max p 120; dashes/1k 27.43; includes furniture"
"OEBPS/text/ch139.xhtml"	"metrics-band"	"max p 89; dashes/1k 31.41; includes furniture"
"OEBPS/text/ch140.xhtml"	"metrics-band"	"max p 62; dashes/1k 29.23; includes furniture"
"OEBPS/text/ch141.xhtml"	"metrics-band"	"max p 77; dashes/1k 20.86; includes furniture"
"OEBPS/text/ch142.xhtml"	"metrics-band"	"max p 67; dashes/1k 27.48; includes furniture"
"OEBPS/text/ch143.xhtml"	"metrics-band"	"max p 90; dashes/1k 25.66; includes furniture"
"OEBPS/text/ch144.xhtml"	"metrics-band"	"max p 92; dashes/1k 21.82; includes furniture"
"OEBPS/text/ch145.xhtml"	"metrics-band"	"max p 94; dashes/1k 37.04; includes furniture"
"OEBPS/text/ch146.xhtml"	"metrics-band"	"max p 91; dashes/1k 20.55; includes furniture"
"OEBPS/text/ch147.xhtml"	"metrics-band"	"max p 83; dashes/1k 18.17; includes furniture"
"OEBPS/text/ch148.xhtml"	"doubled-word"	"She waved both hands. “Aigoo, no no — of course I believe you.” H"
"OEBPS/text/ch148.xhtml"	"doubled-word"	"ressing his lips together, boyish; Busker Busker’s frontman closing one fist. And J"
"OEBPS/text/ch148.xhtml"	"metrics-band"	"max p 94; dashes/1k 23.41; includes furniture"
"OEBPS/text/ch149.xhtml"	"metrics-band"	"max p 124; dashes/1k 29.39; includes furniture"
"OEBPS/text/ch150.xhtml"	"metrics-band"	"max p 111; dashes/1k 28.84; includes furniture"
"OEBPS/text/ch151.xhtml"	"metrics-band"	"max p 95; dashes/1k 30.05; includes furniture"
"OEBPS/text/ch152.xhtml"	"metrics-band"	"max p 89; dashes/1k 28.8; includes furniture"
"OEBPS/text/ch153.xhtml"	"metrics-band"	"max p 106; dashes/1k 32.31; includes furniture"
"OEBPS/text/ch154.xhtml"	"metrics-band"	"max p 129; dashes/1k 30.75; includes furniture"
"OEBPS/text/ch155.xhtml"	"metrics-band"	"max p 80; dashes/1k 18.07; includes furniture"
"OEBPS/text/ch156.xhtml"	"metrics-band"	"max p 48; dashes/1k 21.51; includes furniture"
"OEBPS/text/ch157.xhtml"	"metrics-band"	"max p 85; dashes/1k 21.74; includes furniture"
"OEBPS/text/ch158.xhtml"	"metrics-band"	"max p 67; dashes/1k 24.75; includes furniture"
"OEBPS/text/ch159.xhtml"	"metrics-band"	"max p 80; dashes/1k 22.61; includes furniture"
"OEBPS/text/ch160.xhtml"	"metrics-band"	"max p 65; dashes/1k 27.14; includes furniture"
"OEBPS/text/ch161.xhtml"	"metrics-band"	"max p 113; dashes/1k 27.21; includes furniture"
"OEBPS/text/ch162.xhtml"	"metrics-band"	"max p 87; dashes/1k 38.55; includes furniture"
"OEBPS/text/ch163.xhtml"	"metrics-band"	"max p 87; dashes/1k 27.62; includes furniture"
"OEBPS/text/ch164.xhtml"	"metrics-band"	"max p 127; dashes/1k 33.93; includes furniture"
"OEBPS/text/ch165.xhtml"	"doubled-word"	"ed the takeoff, shaking her head — tsk tsk tsk, THAT smitten? — and followed."
"OEBPS/text/ch165.xhtml"	"doubled-word"	"inee audience, eyes shining. “Tsk tsk tsk. SO sweet.” “Eww~ so chee"
"OEBPS/text/ch165.xhtml"	"metrics-band"	"max p 95; dashes/1k 20.73; includes furniture"
"OEBPS/text/ch166.xhtml"	"doubled-word"	"… for all of it. Everything.” Knock knock knock. “Taeyeon? Ji-ho? You t"
"OEBPS/text/ch166.xhtml"	"metrics-band"	"max p 106; dashes/1k 32.99; includes furniture"
"OEBPS/text/ch167.xhtml"	"metrics-band"	"max p 182; dashes/1k 23.68; includes furniture"
"OEBPS/text/ch168.xhtml"	"metrics-band"	"max p 106; dashes/1k 26.06; includes furniture"
"OEBPS/text/ch169.xhtml"	"doubled-word"	"to be laughed at, obviously fake, ha ha… except. Looking at this face acro"
"OEBPS/text/ch169.xhtml"	"metrics-band"	"max p 133; dashes/1k 30.97; includes furniture"
"OEBPS/text/ch170.xhtml"	"metrics-band"	"max p 104; dashes/1k 35.5; includes furniture"
"OEBPS/text/ch171.xhtml"	"doubled-word"	"warmth, towing Sulli by the arm. “Come come come — there’s an empty acting roo"
"OEBPS/text/ch171.xhtml"	"metrics-band"	"max p 123; dashes/1k 26.27; includes furniture"
"OEBPS/text/ch172.xhtml"	"doubled-word"	"ne. Therefore the GIRLFRIEND could not not send one — and hers, obviously, ha"
"OEBPS/text/ch172.xhtml"	"metrics-band"	"max p 74; dashes/1k 25.17; includes furniture"
"OEBPS/text/ch173.xhtml"	"doubled-word"	"ad been ready for an hour: soft no-makeup makeup, cream knit and cotton lounge pant"
"OEBPS/text/ch173.xhtml"	"metrics-band"	"max p 75; dashes/1k 30.8; includes furniture"
"OEBPS/text/ch174.xhtml"	"metrics-band"	"max p 108; dashes/1k 24.23; includes furniture"
"OEBPS/text/ch175.xhtml"	"doubled-word"	"here’s plenty of time.” “Good~ okay okay, I have to go — any longer and tha"
"OEBPS/text/ch175.xhtml"	"metrics-band"	"max p 200; dashes/1k 36.19; includes furniture"
"OEBPS/text/ch176.xhtml"	"metrics-band"	"max p 100; dashes/1k 24.71; includes furniture"
"OEBPS/text/ch177.xhtml"	"metrics-band"	"max p 84; dashes/1k 29.99; includes furniture"
"OEBPS/text/ch178.xhtml"	"metrics-band"	"max p 82; dashes/1k 19.09; includes furniture"
"OEBPS/text/ch179.xhtml"	"doubled-word"	"ng group line — the ‘don’t be sad, no no no’ — I want your color leading fr"
"OEBPS/text/ch179.xhtml"	"metrics-band"	"max p 145; dashes/1k 32.77; includes furniture"
"OEBPS/text/ch180.xhtml"	"doubled-word"	"—Oppa would be hers alone. Heh. Heh heh. ✦ ✦ ✦ The call ende"
"OEBPS/text/ch180.xhtml"	"metrics-band"	"max p 98; dashes/1k 27.57; includes furniture"
"OEBPS/text/ch181.xhtml"	"doubled-word"	"search began. “Lucky~” “Kitty kitty~” “Myau~ myau~” The answ"
"OEBPS/text/ch181.xhtml"	"metrics-band"	"max p 90; dashes/1k 26.13; includes furniture"
"OEBPS/text/ch182.xhtml"	"doubled-word"	"“Oppa, GO! I’ll explain to eonni — ppalli ppalli!” He ducked Ji-eun’s renewed"
"OEBPS/text/ch182.xhtml"	"doubled-word"	"wn the door and sat. Bastard. Bastard bastard BASTARD. Philandering radish!"
"OEBPS/text/ch182.xhtml"	"metrics-band"	"max p 179; dashes/1k 37.73; includes furniture"
"OEBPS/text/ch183.xhtml"	"metrics-band"	"max p 71; dashes/1k 26.44; includes furniture"
"OEBPS/text/ch184.xhtml"	"metrics-band"	"max p 61; dashes/1k 23.61; includes furniture"
"OEBPS/text/ch185.xhtml"	"doubled-word"	"red. Certified relationship-brain. Tsk tsk tsk — another woman down the love"
"OEBPS/text/ch185.xhtml"	"metrics-band"	"max p 79; dashes/1k 24.43; includes furniture"
"OEBPS/text/ch186.xhtml"	"metrics-band"	"max p 70; dashes/1k 26.3; includes furniture"
"OEBPS/text/ch187.xhtml"	"doubled-word"	"— shall I peel one for you?” “No no, I’ve got it.” A pause; a fond sig"
"OEBPS/text/ch187.xhtml"	"metrics-band"	"max p 87; dashes/1k 26.55; includes furniture"
"OEBPS/text/ch188.xhtml"	"metrics-band"	"max p 104; dashes/1k 27.96; includes furniture"
"OEBPS/text/ch189.xhtml"	"doubled-word"	"till turning it over when— ♪ fall fall fall fall falling U — his rington"
"OEBPS/text/ch189.xhtml"	"doubled-word"	"ng it over when— ♪ fall fall fall fall falling U — his ringtone, mid-stu"
"OEBPS/text/ch189.xhtml"	"metrics-band"	"max p 96; dashes/1k 33.13; includes furniture"
"OEBPS/text/ch190.xhtml"	"doubled-word"	"ow. Shall I drive you back?” “No no—” Tiffany waved. “Manager eonni’s"
"OEBPS/text/ch190.xhtml"	"metrics-band"	"max p 69; dashes/1k 33.93; includes furniture"
"OEBPS/text/ch191.xhtml"	"metrics-band"	"max p 62; dashes/1k 25.76; includes furniture"
"OEBPS/text/ch192.xhtml"	"metrics-band"	"max p 124; dashes/1k 32.69; includes furniture"
"OEBPS/text/ch193.xhtml"	"metrics-band"	"max p 52; dashes/1k 31.19; includes furniture"
"OEBPS/text/ch194.xhtml"	"doubled-word"	"IEVABLE. He wants ME to fetch HER. Bastard bastard BASTARD— In the elevator mirr"
"OEBPS/text/ch194.xhtml"	"metrics-band"	"max p 105; dashes/1k 33.06; includes furniture"
"OEBPS/text/ch195.xhtml"	"doubled-word"	"both. Come in for a drink?” “No no — it’s late, we still have to deli"
"OEBPS/text/ch195.xhtml"	"metrics-band"	"max p 106; dashes/1k 36.06; includes furniture"
"OEBPS/text/ch196.xhtml"	"metrics-band"	"max p 199; dashes/1k 23.26; includes furniture"
"OEBPS/text/ch197.xhtml"	"metrics-band"	"max p 97; dashes/1k 31.42; includes furniture"
"OEBPS/text/ch198.xhtml"	"metrics-band"	"max p 59; dashes/1k 31.93; includes furniture"
"OEBPS/text/ch199.xhtml"	"metrics-band"	"max p 200; dashes/1k 32.0; includes furniture"
"OEBPS/text/ch200.xhtml"	"doubled-word"	"inutes of direct temptation. “Yes yes YES!” Yuri nodded, satisfied,"
"OEBPS/text/ch200.xhtml"	"metrics-band"	"max p 71; dashes/1k 35.01; includes furniture"
"OEBPS/text/ch201.xhtml"	"doubled-word"	"and still expect expensive gifts? Tsk tsk. The thickness of some faces.”"
"OEBPS/text/ch201.xhtml"	"metrics-band"	"max p 75; dashes/1k 25.55; includes furniture"
"OEBPS/text/ch202.xhtml"	"metrics-band"	"max p 64; dashes/1k 33.62; includes furniture"
"OEBPS/text/ch203.xhtml"	"metrics-band"	"max p 126; dashes/1k 32.59; includes furniture"
"OEBPS/text/ch204.xhtml"	"metrics-band"	"max p 118; dashes/1k 41.51; includes furniture"
"OEBPS/text/ch205.xhtml"	"metrics-band"	"max p 257; dashes/1k 30.88; includes furniture"
"OEBPS/text/ch206.xhtml"	"metrics-band"	"max p 69; dashes/1k 21.48; includes furniture"
"OEBPS/text/ch207.xhtml"	"metrics-band"	"max p 104; dashes/1k 26.3; includes furniture"
"OEBPS/text/ch208.xhtml"	"metrics-band"	"max p 75; dashes/1k 25.97; includes furniture"
"OEBPS/text/ch209.xhtml"	"metrics-band"	"max p 74; dashes/1k 31.0; includes furniture"
"OEBPS/text/ch210.xhtml"	"doubled-word"	"even in the dark. “Aish, whatever happens happens. It’s Ji-ho Oppa’s FIRST film. Eve"
"OEBPS/text/ch210.xhtml"	"doubled-word"	"“We did it, Sulli.” “I TOLD you you could afford to be greedy!” H"
"OEBPS/text/ch210.xhtml"	"metrics-band"	"max p 116; dashes/1k 23.54; includes furniture"
"OEBPS/text/ch211.xhtml"	"metrics-band"	"max p 123; dashes/1k 30.17; includes furniture"
"OEBPS/text/ch212.xhtml"	"metrics-band"	"max p 125; dashes/1k 29.78; includes furniture"
"OEBPS/text/ch213.xhtml"	"doubled-word"	"u DARE play me, little fox—” “Nyeh nyeh nyeh~ Oppa, come catch me then! Ha"
"OEBPS/text/ch213.xhtml"	"metrics-band"	"max p 203; dashes/1k 32.84; includes furniture"
"OEBPS/text/ch214.xhtml"	"metrics-band"	"max p 131; dashes/1k 22.59; includes furniture"
